"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","EDUTRY","25_34","PC_AGE","A","2014",44.239079,
"BEL","EDUTRY","25_34","PC_AGE","A","2015",43.144318,
"BEL","EDUTRY","25_34","PC_AGE","A","2016",44.311111,
"BEL","EDUTRY","25_34","PC_AGE","A","2017",45.725086,
"BEL","EDUTRY","25_34","PC_AGE","A","2018",47.397144,
"BEL","EDUTRY","25_34","PC_AGE","A","2019",47.282982,
"BEL","EDUTRY","25_34","PC_AGE","A","2020",48.508053,
"BEL","EDUTRY","25_34","PC_AGE","A","2021",50.869141,
"CAN","EDUTRY","25_34","PC_AGE","A","2010",56.169838,
"CAN","EDUTRY","25_34","PC_AGE","A","2011",56.40131,
"CAN","EDUTRY","25_34","PC_AGE","A","2012",57.056797,
"CAN","EDUTRY","25_34","PC_AGE","A","2013",57.603394,
"CAN","EDUTRY","25_34","PC_AGE","A","2014",57.725277,
"CAN","EDUTRY","25_34","PC_AGE","A","2015",59.182831,
"CAN","EDUTRY","25_34","PC_AGE","A","2016",60.582603,
"CAN","EDUTRY","25_34","PC_AGE","A","2017",60.916767,
"CAN","EDUTRY","25_34","PC_AGE","A","2018",61.754246,
"CAN","EDUTRY","25_34","PC_AGE","A","2019",62.965115,
"CAN","EDUTRY","25_34","PC_AGE","A","2020",64.386749,
"CAN","EDUTRY","25_34","PC_AGE","A","2021",66.357666,
"CZE","EDUTRY","25_34","PC_AGE","A","2010",22.630354,
"CZE","EDUTRY","25_34","PC_AGE","A","2011",25.124683,
"CZE","EDUTRY","25_34","PC_AGE","A","2012",27.832432,
"CZE","EDUTRY","25_34","PC_AGE","A","2013",29.195036,
"CZE","EDUTRY","25_34","PC_AGE","A","2014",29.88735,
"CZE","EDUTRY","25_34","PC_AGE","A","2015",31.010311,
"CZE","EDUTRY","25_34","PC_AGE","A","2016",32.564495,
"CZE","EDUTRY","25_34","PC_AGE","A","2017",33.821026,
"CZE","EDUTRY","25_34","PC_AGE","A","2018",33.328793,
"CZE","EDUTRY","25_34","PC_AGE","A","2019",32.580391,
"CZE","EDUTRY","25_34","PC_AGE","A","2020",33.001759,
"CZE","EDUTRY","25_34","PC_AGE","A","2021",35.038952,
"DNK","EDUTRY","25_34","PC_AGE","A","2010",37.608952,
"DNK","EDUTRY","25_34","PC_AGE","A","2011",38.600784,
"DNK","EDUTRY","25_34","PC_AGE","A","2012",40.192459,
"DNK","EDUTRY","25_34","PC_AGE","A","2013",40.929459,
"DNK","EDUTRY","25_34","PC_AGE","A","2014",41.623554,
"DNK","EDUTRY","25_34","PC_AGE","A","2015",43.043034,
"DNK","EDUTRY","25_34","PC_AGE","A","2016",44.594067,
"DNK","EDUTRY","25_34","PC_AGE","A","2017",45.537395,
"DNK","EDUTRY","25_34","PC_AGE","A","2018",45.83231,
"DNK","EDUTRY","25_34","PC_AGE","A","2019",47.097672,
"DNK","EDUTRY","25_34","PC_AGE","A","2020",42.575157,
"DNK","EDUTRY","25_34","PC_AGE","A","2021",49.040775,
"FIN","EDUTRY","25_34","PC_AGE","A","2010",39.207012,
"FIN","EDUTRY","25_34","PC_AGE","A","2011",39.377258,
"FIN","EDUTRY","25_34","PC_AGE","A","2012",39.749657,
"FIN","EDUTRY","25_34","PC_AGE","A","2013",39.992779,
"FIN","EDUTRY","25_34","PC_AGE","A","2014",40.308151,
"FIN","EDUTRY","25_34","PC_AGE","A","2015",40.524899,
"FIN","EDUTRY","25_34","PC_AGE","A","2016",41.13372,
"FIN","EDUTRY","25_34","PC_AGE","A","2017",41.253643,
