Country,Year,Population with tertiary education (% of 24-35 year olds)
POL,2013,41.82151
POL,2014,42.60154
POL,2015,43.193764
POL,2016,43.47826
POL,2017,43.526325
POL,2018,43.523716
POL,2019,43.484364
POL,2020,42.433945
POL,2021,40.644897
PRT,2010,24.804928
PRT,2011,26.924166
PRT,2012,28.331631
PRT,2013,29.313473
PRT,2014,31.439877
PRT,2015,33.139576
PRT,2016,34.969795
PRT,2017,34.031322
PRT,2018,35.078072
PRT,2019,37.36721
PRT,2020,41.910061
PRT,2021,47.453522
SVK,2010,24.029381
SVK,2011,25.505198
SVK,2012,26.97694
SVK,2013,29.674646
SVK,2014,29.826096
SVK,2015,31.312998
SVK,2016,33.372261
SVK,2017,35.065048
SVK,2018,37.208523
SVK,2019,39.158154
SVK,2020,39.042641
SVK,2021,39.497326
ESP,2010,40.312317
ESP,2011,40.311493
ESP,2012,40.386406
ESP,2013,41.089592
ESP,2014,41.477402
ESP,2015,40.959778
ESP,2016,40.980919
ESP,2017,42.644691
ESP,2018,44.259609
ESP,2019,46.508266
ESP,2020,47.379524
ESP,2021,48.726418
SWE,2010,42.23127
SWE,2011,42.86599
SWE,2012,43.473869
SWE,2013,44.817905
SWE,2014,45.978123
SWE,2015,46.408928
SWE,2016,47.215698
SWE,2017,47.388306
SWE,2018,47.530075
SWE,2019,48.373196
SWE,2020,49.133411
SWE,2021,49.219364
CHE,2010,37.405544
CHE,2011,38.016293
CHE,2012,39.260506
CHE,2013,41.891548
CHE,2014,44.214348
CHE,2015,46.502586
CHE,2016,48.844658
CHE,2017,50.136665
CHE,2018,51.206909
CHE,2019,52.695705
CHE,2020,52.972816
CHE,2021,52.271042
TUR,2010,17.447386
TUR,2011,18.87298
TUR,2012,20.998264
TUR,2013,22.456688
TUR,2014,24.793388
TUR,2015,27.517448
TUR,2016,30.456598
TUR,2017,31.588659
TUR,2018,33.280041
TUR,2019,35.325356
TUR,2021,39.825943
GBR,2010,46.046906
GBR,2011,46.910782
GBR,2012,47.860847
GBR,2013,48.31358
GBR,2014,49.185982
GBR,2015,49.943413
GBR,2016,51.775383
GBR,2017,51.624851
GBR,2018,50.752552
GBR,2019,51.809521
GBR,2020,55.833538
GBR,2021,57.473328
USA,2010,42.310982
USA,2011,43.132984
USA,2012,44.042595
USA,2013,44.779469
USA,2014,45.663815
USA,2015,46.517712
USA,2016,47.521809
USA,2017,47.757
USA,2018,49.373737
USA,2019,50.380188
USA,2020,51.856071
USA,2021,51.1675
ARG,2010,20.616898
ARG,2011,19.9783
ARG,2012,19.898472
ARG,2013,19.331865
ARG,2014,18.801071
ARG,2017,18.388876
ARG,2018,17.45554
ARG,2019,18.856657
ARG,2020,18.214817
ARG,2021,19.026117
BRA,2011,12.742485
BRA,2012,14.51143
BRA,2013,15.2918
BRA,2014,16.276585
BRA,2015,16.62822
BRA,2016,19.172213
BRA,2017,19.101683
BRA,2018,20.827681
BRA,2019,21.031229
BRA,2020,22.672012
BRA,2021,23.025974
CHL,2011,22.483852
CHL,2013,27.27248
CHL,2015,29.874573
CHL,2017,33.726387
CHL,2020,40.50774
CHN,2010,17.948812
EST,2010,38.010132
EST,2011,38.927837
EST,2012,40.079975
EST,2013,40.439819
EST,2014,40.421608
EST,2015,40.508533
EST,2016,41.048111
EST,2017,43.041157
EST,2018,43.633705
EST,2019,42.760071
EST,2020,43.145798
EST,2021,43.179394
IND,2011,13.899584
IND,2012,9.6421013
IND,2018,17.586313
IND,2019,19.491144
IND,2020,20.502251
IDN,2010,9.6603518
IDN,2011,10.275131
IDN,2012,11.456944
IDN,2013,11.93277
IDN,2014,12.44546
IDN,2015,13.734091
IDN,2016,15.069039
IDN,2017,16.130028
IDN,2018,17.335848
IDN,2019,17.468817
IDN,2020,18.11237
IDN,2021,18.66452
ISR,2010,44.216198
ISR,2011,45.042313
ISR,2012,44.498508
ISR,2013,44.848808
ISR,2014,46.005543
ISR,2015,45.897861
ISR,2016,47.449234
ISR,2017,48.028301
ISR,2018,47.1143
ISR,2019,47.04248
ISR,2020,47.257065
ISR,2021,46.008179
RUS,2010,52.537052
RUS,2011,53.268311
RUS,2012,53.534069
RUS,2013,54.66906
RUS,2014,55.64846
RUS,2015,56.2855
RUS,2016,57.57906
RUS,2017,62.657864
RUS,2018,62.09024
SVN,2010,31.307655
SVN,2011,33.815281
SVN,2012,35.340069
SVN,2013,37.393593
SVN,2014,38.080215
SVN,2015,40.758549
SVN,2016,42.977364
SVN,2017,44.566971
SVN,2018,40.713264
SVN,2019,44.105736
SVN,2020,45.425419
SVN,2021,47.95
ZAF,2010,6.4036593
ZAF,2011,6.5621829
ZAF,2012,8.682601
ZAF,2013,11.42107
ZAF,2014,11.799505
ZAF,2015,11.545781
ZAF,2016,12.457
ZAF,2017,14.820914
ZAF,2018,14.292954
ZAF,2019,14.487103
ZAF,2020,14.853134
OAVG,2010,37.356374
OAVG,2011,37.897794
OAVG,2012,39.620944
OAVG,2013,40.167011
OAVG,2014,41.050865
OAVG,2015,41.31048
OAVG,2016,42.748177
OAVG,2017,43.171617
OAVG,2018,44.000053
OAVG,2019,44.766996
OAVG,2020,45.859403
OAVG,2021,47.077121
LVA,2010,34.697613
LVA,2011,35.106369
LVA,2012,38.724171
LVA,2013,40.700375
LVA,2014,39.436726
LVA,2015,39.870365
LVA,2016,42.097309
LVA,2017,41.608852
LVA,2018,41.648941
LVA,2019,43.811146
LVA,2020,44.246166
LVA,2021,45.504379
COL,2014,27.735731
COL,2015,27.445988
COL,2016,28.074512
COL,2017,28.106581
COL,2018,28.959703
COL,2019,29.873518
COL,2020,29.993586
COL,2021,30.526562
LTU,2010,46.317448
LTU,2011,48.213768
LTU,2012,48.577328
LTU,2013,50.487457
LTU,2014,52.552208
LTU,2015,54.769646
LTU,2016,54.926018
LTU,2017,55.625957
LTU,2018,55.581402
LTU,2019,55.187374
LTU,2020,56.18409
LTU,2021,57.479141
CRI,2010,26.131706
CRI,2011,25.650885
CRI,2012,28.863514
CRI,2013,28.275383
CRI,2014,28.704456
CRI,2015,28.331566
CRI,2016,28.922903
CRI,2017,28.004108
CRI,2018,27.815552
CRI,2019,31.346508
CRI,2020,32.465542
CRI,2021,30.260878
